replication,graph_seed,shipment_seed,cascade_seed,learning_seed,CPR0,CPR1,MTTD0,MTTD1,RI0,RI1,CS0,CS1,MTTR0,MTTR1,AI
0,1000,2000,3000,4000,0.01255,0.00725,1.5376344086021505,1.4494623655913978,0.8580000000000003,0.9973333333333334,0.14741035856573706,0.09163346613545817,60,1,1.7203605448041605e-06
1,1001,2001,3001,4001,0.0121,0.00765,1.7085561497326203,1.6,0.1686666666666667,0.994,0.9840637450199203,0.09163346613545817,60,1,7.522581304544075e-07
2,1002,2002,3002,4002,0.0125,0.00795,1.6033519553072626,1.54586129753915,1.0,1.0,0.2549800796812749,0.12350597609561753,1,1,1.0986583326986103e-06
3,1003,2003,3003,4003,0.01365,0.0077,1.5963302752293578,1.4955752212389382,0.1,1.0,1.0,0.08366533864541832,60,1,-1.4201941978106402e-06
4,1004,2004,3004,4004,0.01275,0.008,1.6408668730650156,1.5419664268585132,0.9246666666666667,0.9913333333333333,0.24302788844621515,0.099601593625498,1,1,4.687221768789557e-07
5,1005,2005,3005,4005,0.0122,0.0083,1.6521739130434783,1.482532751091703,0.08866666666666666,1.0,1.0,0.11155378486055777,1,1,1.613932646104464e-06
6,1006,2006,3006,4006,0.0114,0.0077,1.7034120734908136,1.5934065934065933,0.24933333333333335,0.9853333333333334,1.0,0.07569721115537849,60,1,2.146996163016392e-07
7,1007,2007,3007,4007,0.01215,0.00835,1.610958904109589,1.5246636771300448,0.9626666666666668,1.0,0.19123505976095617,0.12350597609561753,1,1,6.69147473934754e-07
8,1008,2008,3008,4008,0.01225,0.00825,1.54,1.4491725768321513,0.09400000000000001,0.9926666666666667,1.0,0.12350597609561753,60,1,-2.2555508966003638e-07
9,1009,2009,3009,4009,0.012,0.0082,1.6636363636363636,1.5896805896805897,0.8466666666666669,1.0,0.23107569721115537,0.11952191235059761,60,1,1.4962123496277945e-06
10,1010,2010,3010,4010,0.01145,0.0075,1.6153846153846154,1.5725190839694656,0.052000000000000005,0.9906666666666666,0.9800796812749004,0.13545816733067728,60,2,2.757945212144607e-07
11,1011,2011,3011,4011,0.0128,0.0079,1.585014409221902,1.4824561403508771,0.36933333333333335,1.0,1.0,0.12350597609561753,1,1,-1.6276117443569553e-06
12,1012,2012,3012,4012,0.0123,0.00725,1.584375,1.5373493975903614,0.966,1.0,0.2549800796812749,0.0796812749003984,1,1,1.2733359611611991e-06
13,1013,2013,3013,4013,0.0119,0.0081,1.6235955056179776,1.5239179954441913,0.13333333333333333,0.986,1.0,0.099601593625498,60,9,-1.1477250031651382e-06
14,1014,2014,3014,4014,0.01205,0.00745,1.6111111111111112,1.493273542600897,0.10133333333333333,1.0,1.0,0.11952191235059761,60,1,1.7587400145993324e-06
15,1015,2015,3015,4015,0.01235,0.00745,1.6342857142857143,1.5321507760532151,0.12466666666666668,0.9913333333333333,1.0,0.11155378486055777,60,2,1.0481752350025752e-06
16,1016,2016,3016,4016,0.01245,0.0081,1.6330749354005167,1.50836820083682,0.9666666666666667,1.0,0.350597609561753,0.14342629482071714,1,1,2.8127023989198466e-06
17,1017,2017,3017,4017,0.01245,0.0078,1.6612903225806452,1.5548387096774194,0.092,1.0,1.0,0.0796812749003984,60,1,9.879222702757361e-08
18,1018,2018,3018,4018,0.01415,0.0091,1.5895953757225434,1.498891352549889,0.05666666666666667,0.9933333333333333,1.0,0.1553784860557769,60,1,1.617639971255521e-07
19,1019,2019,3019,4019,0.01245,0.0082,1.6602739726027398,1.5582959641255605,0.19266666666666668,1.0,1.0,0.11155378486055777,1,1,1.7127172679975488e-06
20,1020,2020,3020,4020,0.012,0.00785,1.6614420062695925,1.600502512562814,0.096,0.9973333333333334,0.9840637450199203,0.11155378486055777,60,1,1.0028279138936497e-06
21,1021,2021,3021,4021,0.0127,0.0079,1.6893491124260356,1.5770114942528735,0.10600000000000001,0.9840000000000001,0.9840637450199203,0.10756972111553785,60,1,1.4798033075376197e-06
22,1022,2022,3022,4022,0.0119,0.0081,1.6090651558073654,1.5375586854460095,0.9240000000000002,0.9960000000000001,0.1593625498007968,0.11155378486055777,5,1,9.774509073588701e-07
23,1023,2023,3023,4023,0.01145,0.00725,1.691326530612245,1.5609243697478992,0.16533333333333333,0.9933333333333334,1.0,0.12749003984063745,60,1,9.670066816638938e-07
24,1024,2024,3024,4024,0.012,0.0078,1.6309148264984228,1.5566502463054188,0.8553333333333336,1.0,0.3147410358565737,0.10756972111553785,1,1,1.0415770201522931e-06
25,1025,2025,3025,4025,0.01285,0.00875,1.6196319018404908,1.5384615384615385,0.07466666666666666,0.9966666666666666,1.0,0.1553784860557769,1,1,5.929008711186155e-07
26,1026,2026,3026,4026,0.0118,0.00745,1.6153846153846154,1.5154185022026432,0.054000000000000006,0.9966666666666666,1.0,0.10756972111553785,60,1,3.271643093191077e-08
27,1027,2027,3027,4027,0.01205,0.0076,1.6213872832369942,1.5162790697674418,0.10466666666666667,1.0,1.0,0.08764940239043825,60,1,3.5789138649627703e-06
28,1028,2028,3028,4028,0.01285,0.0084,1.59882005899705,1.4939467312348669,0.9606666666666667,1.0,0.20717131474103587,0.0796812749003984,1,1,2.888172466759772e-06
29,1029,2029,3029,4029,0.0119,0.00785,1.5702702702702702,1.469298245614035,0.06933333333333333,1.0,1.0,0.08764940239043825,60,1,-1.0801132843224203e-06
